material,A_stockout_%,A_inv_days,B_stockout_%,B_inv_days
Stroberi Segar,4.24,5.9,32.12,0.15
Gula Pasir,3.03,5.83,6.67,1.39
Tepung Terigu,3.03,5.81,6.06,2.43
Mentega,3.03,5.81,4.85,2.16
Susu Segar,3.64,5.87,13.33,0.93
Telur Ayam,3.03,5.97,78.18,0.03
